,Title,Average Score,Score Count,Genres
72,Supremacy: The Metaverse Game,87.84260515603799,10,Strategy
72,Supremacy: The Metaverse Game,87.84260515603799,10,Tactical
73,Coral Island,75.64660493827161,10,Role-playing (RPG)
73,Coral Island,75.64660493827161,10,Simulator
73,Coral Island,75.64660493827161,10,Strategy
73,Coral Island,75.64660493827161,10,Adventure
73,Coral Island,75.64660493827161,10,Indie
74,Peglin,86.15768958222841,10,Puzzle
74,Peglin,86.15768958222841,10,Strategy
74,Peglin,86.15768958222841,10,Indie
74,Peglin,86.15768958222841,10,Arcade
75,Havocado,77.0,10,Indie
76,Blade & Sorcery,80.05454161613338,10,Role-playing (RPG)
76,Blade & Sorcery,80.05454161613338,10,Simulator
76,Blade & Sorcery,80.05454161613338,10,Adventure
76,Blade & Sorcery,80.05454161613338,10,Indie
77,"Good Pizza, Great Pizza",64.25620110828709,10,Simulator
77,"Good Pizza, Great Pizza",64.25620110828709,10,Strategy
77,"Good Pizza, Great Pizza",64.25620110828709,10,Indie
77,"Good Pizza, Great Pizza",64.25620110828709,10,Arcade
78,Ravenfield,70.95404021222224,10,Shooter
78,Ravenfield,70.95404021222224,10,Indie
79,Passpartout: The Starving Artist,59.94069549359882,10,Simulator
79,Passpartout: The Starving Artist,59.94069549359882,10,Adventure
79,Passpartout: The Starving Artist,59.94069549359882,10,Indie
80,Serious Sam Classics: Revolution,87.61706494111856,10,Shooter
80,Serious Sam Classics: Revolution,87.61706494111856,10,Indie
81,Who's Your Daddy,43.32214964721245,10,Simulator
81,Who's Your Daddy,43.32214964721245,10,Indie
82,No Rest for the Wicked,79.96556164465606,9,Role-playing (RPG)
82,No Rest for the Wicked,79.96556164465606,9,Strategy
83,Slime Rancher 2,65.9702479338843,9,Shooter
83,Slime Rancher 2,65.9702479338843,9,Simulator
83,Slime Rancher 2,65.9702479338843,9,Adventure
83,Slime Rancher 2,65.9702479338843,9,Indie
84,Seen,54.26400260464785,9,Platform
84,Seen,54.26400260464785,9,Puzzle
84,Seen,54.26400260464785,9,Adventure
84,Seen,54.26400260464785,9,Indie
85,Russian Fishing 4,68.56625763972927,9,Role-playing (RPG)
85,Russian Fishing 4,68.56625763972927,9,Simulator
85,Russian Fishing 4,68.56625763972927,9,Sport
85,Russian Fishing 4,68.56625763972927,9,Adventure
86,Rico,53.13678278816184,9,Shooter
86,Rico,53.13678278816184,9,Indie
86,Rico,53.13678278816184,9,Arcade
87,Savage Lands,59.61447578996194,9,Role-playing (RPG)
87,Savage Lands,59.61447578996194,9,Adventure
87,Savage Lands,59.61447578996194,9,Indie
88,The Universim,65.72087908908081,9,Simulator
88,The Universim,65.72087908908081,9,Strategy
88,The Universim,65.72087908908081,9,Indie
89,Hades II,85.0754897653551,8,Role-playing (RPG)
89,Hades II,85.0754897653551,8,Adventure
89,Hades II,85.0754897653551,8,Indie
90,Big Time,87.05882352941175,8,Role-playing (RPG)
90,Big Time,87.05882352941175,8,Adventure
91,Achilles: Legends Untold,57.53421887637653,8,Role-playing (RPG)
91,Achilles: Legends Untold,57.53421887637653,8,Hack and slash/Beat 'em up
91,Achilles: Legends Untold,57.53421887637653,8,Indie
92,Second Extinction,72.61604711117297,8,Shooter
93,Craftopia,71.79325842696629,8,Role-playing (RPG)
93,Craftopia,71.79325842696629,8,Hack and slash/Beat 'em up
93,Craftopia,71.79325842696629,8,Adventure
93,Craftopia,71.79325842696629,8,Indie
94,Dinkum,83.38946077023459,8,Role-playing (RPG)
94,Dinkum,83.38946077023459,8,Simulator
94,Dinkum,83.38946077023459,8,Indie
95,Foundation,63.68350171809344,8,Simulator
95,Foundation,63.68350171809344,8,Strategy
95,Foundation,63.68350171809344,8,Indie
96,Nova Drift,39.54285714285714,8,Indie
96,Nova Drift,39.54285714285714,8,Arcade
97,Academia: School Simulator,69.81034505672702,8,Simulator
97,Academia: School Simulator,69.81034505672702,8,Strategy
97,Academia: School Simulator,69.81034505672702,8,Indie
98,Staxel,54.56949609190651,8,Role-playing (RPG)
98,Staxel,54.56949609190651,8,Simulator
98,Staxel,54.56949609190651,8,Indie
99,Oriental Empires,53.375,8,Simulator
99,Oriental Empires,53.375,8,Strategy
99,Oriental Empires,53.375,8,Indie
100,ARK: Survival of the Fittest,14.66815512119835,8,Shooter
100,ARK: Survival of the Fittest,14.66815512119835,8,Role-playing (RPG)
100,ARK: Survival of the Fittest,14.66815512119835,8,Strategy
100,ARK: Survival of the Fittest,14.66815512119835,8,Adventure
100,ARK: Survival of the Fittest,14.66815512119835,8,Indie
101,Echo of Soul,56.72286707808303,8,Role-playing (RPG)
102,Riot: Civil Unrest,50.91514610670846,8,Simulator
102,Riot: Civil Unrest,50.91514610670846,8,Strategy
102,Riot: Civil Unrest,50.91514610670846,8,Indie
103,Overpower,70.17241379310346,8,Role-playing (RPG)
103,Overpower,70.17241379310346,8,Indie
104,Labyrinth,81.04545454545453,8,Role-playing (RPG)
104,Labyrinth,81.04545454545453,8,Strategy
104,Labyrinth,81.04545454545453,8,Indie
105,Dead Effect 2,54.32579989842559,8,Shooter
105,Dead Effect 2,54.32579989842559,8,Role-playing (RPG)
105,Dead Effect 2,54.32579989842559,8,Indie
106,The Guild 3,59.3083623245374,8,Role-playing (RPG)
106,The Guild 3,59.3083623245374,8,Simulator
106,The Guild 3,59.3083623245374,8,Strategy
107,Interstellar Marines,39.70762760263374,8,Shooter
107,Interstellar Marines,39.70762760263374,8,Role-playing (RPG)
107,Interstellar Marines,39.70762760263374,8,Simulator
107,Interstellar Marines,39.70762760263374,8,Tactical
107,Interstellar Marines,39.70762760263374,8,Indie
108,The Coffin of Andy and Leyley,74.32765544938374,7,Role-playing (RPG)
108,The Coffin of Andy and Leyley,74.32765544938374,7,Adventure
108,The Coffin of Andy and Leyley,74.32765544938374,7,Visual Novel
109,Soulstone Survivors,74.81166094561975,7,Role-playing (RPG)
109,Soulstone Survivors,74.81166094561975,7,Hack and slash/Beat 'em up
109,Soulstone Survivors,74.81166094561975,7,Indie
109,Soulstone Survivors,74.81166094561975,7,Arcade
110,Lightyear Frontier,34.60674157303371,7,Simulator
110,Lightyear Frontier,34.60674157303371,7,Adventure
110,Lightyear Frontier,34.60674157303371,7,Indie
111,Age of Darkness: Final Stand,70.80317539589043,7,Real Time Strategy (RTS)
111,Age of Darkness: Final Stand,70.80317539589043,7,Strategy
112,Mad Games Tycoon 2,71.13177779651197,7,Simulator
112,Mad Games Tycoon 2,71.13177779651197,7,Strategy
112,Mad Games Tycoon 2,71.13177779651197,7,Indie
113,Foundry,86.20689655172414,7,Simulator
113,Foundry,86.20689655172414,7,Strategy
113,Foundry,86.20689655172414,7,Indie
114,Tiny Bunny,71.41721795289932,7,Adventure
114,Tiny Bunny,71.41721795289932,7,Indie
114,Tiny Bunny,71.41721795289932,7,Visual Novel
115,Timberborn,71.91697415473745,7,Simulator
115,Timberborn,71.91697415473745,7,Strategy
115,Timberborn,71.91697415473745,7,Indie
116,Atlas,58.89921777576238,7,Role-playing (RPG)
116,Atlas,58.89921777576238,7,Adventure
117,Torque Drift,90.0,7,Racing
117,Torque Drift,90.0,7,Sport
118,Legion TD 2,51.16048146568269,7,Real Time Strategy (RTS)
118,Legion TD 2,51.16048146568269,7,Strategy
118,Legion TD 2,51.16048146568269,7,Indie
119,Infinite Minigolf,62.66666666666666,7,Simulator
119,Infinite Minigolf,62.66666666666666,7,Sport
119,Infinite Minigolf,62.66666666666666,7,Indie
119,Infinite Minigolf,62.66666666666666,7,Arcade
