,Title,Average Score,Score Count,Developers,Games Developed
133,Trials of Fire,75.83333333333334,6,Whatboy Games,2
134,War Selection,62.2308979364194,6,Glyph Worlds,3
135,Deeeer Simulator,62.07143660752438,6,NASPAPA GAMES,1
136,Workers & Resources: Soviet Republic,68.50416764302213,6,3Division,2
137,Half-Life: Uplink,70.08421892086201,6,Valve,86
138,Maximum Action,63.80596290181607,6,George Mandell,1
139,Pandemic: The Board Game,61.13560829183328,6,Asmodee Digital,8
139,Pandemic: The Board Game,61.13560829183328,6,Asmodee Digital,8
140,PixArk,71.30528907377536,6,Snail Games,8
141,Gene Shift Auto,69.95083232193197,6,Ben Johnson (bencelot),1
142,Demonologist,55.71428571428571,5,Clock Wizard Games,2
143,Nightingale,61.34468910123252,5,Inflexion Games,1
144,Turing Complete,83.37078651685394,5,LevelHead,1
145,Dominion,90.07874015748031,5,Temple Gates Games,6
146,Anvil Saga,67.72131316470231,5,Pirozhok Studio,1
147,IdleOn: The Idle MMO,60.14821496751836,5,LavaFlame2,2
148,Population: One,96.0,5,BigBox VR,2
149,Manor Lords,70.82163789842319,5,Slavic Magic,1
150,Hokko Life,43.0,5,Robert Tatnell,1
150,Hokko Life,43.0,5,Wonderscope,1
151,Hunter's Arena: Legends,51.0809954501272,5,Matisco,1
152,Going Medieval,61.75159575149583,5,Gramophone Games,1
153,Dungeon of Dragon Knight,46.62921348314606,5,HexGameStudio,1
154,Size Matters,50.84093736992634,5,Mazen Games,2
155,Drunken Wrestlers 2,76.0,5,Oleg Skutte,4
156,Vegas Infinite by PokerStars,88.0,5,pokerstars,1
156,Vegas Infinite by PokerStars,88.0,5,Lucky VR Inc.,1
157,Scarf,66.4,5,Uprising Studios,1
158,Among Trees,69.54784831221782,5,FJRD Interactive,1
159,Space Haven,63.80323791759334,5,Bugbyte Ltd.,3
160,Headsnatchers,47.78376298576376,5,IguanaBee,5
161,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Fantasy Flight Interactive,3
162,Witchfire,49.69721893740783,5,The Astronauts,4
163,Computer Tycoon,68.4416367775665,5,Progorion,2
164,Desolate,76.41030041246324,5,Nearga,2
165,Bio Inc. Redemption,70.0,5,DryGin Studios,1
166,AdventureQuest 3D,63.14621339834339,5,Artix Entertainment,18
167,Paranormal Activity: The Lost Soul,69.02774897875744,5,VRWERX,1
168,Tower Unite,80.81601636208076,5,PixelTail Games,1
169,WWII Online,72.5,5,Cornered Rat Software,2
170,Chime Sharp,78.16666666666666,5,Chilled Mouse,3
171,StarCrawlers,70.03088533873589,5,Juggernaut Games,1
172,Bang-On Balls: Chronicles,80.0,4,Exit Plan Games,1
173,The Long Drive,60.0,4,Genesz,2
174,Black Skylands,80.0,4,Hungry Couch Games,3
175,Gamecraft,60.0,4,Freejam,3
176,Shortest Trip to Earth,64.83333333333334,4,Interactive Fate,2
177,Mist Survival,80.0,4,Rati Wattanakornprasit,1
178,Meow Motors,65.5,4,Artvostok,1
179,Mars Horizon,80.0,4,Auroch Digital,10
180,The Coin Game,70.0,4,devotid Media,3
181,Chinese Parents,80.0,4,墨鱼玩游戏,1
182,Fault: Elder Orb,50.0,4,Strange Matter Studios,1
183,Yorkshire Gubbins,79.0,4,Stairfall Institute,2
185,Knockout League,76.0,4,Grab,4
186,Long Gone Days,72.0,4,BURA,1
187,Guild Quest,60.0,4,Hyper Hippo Entertainment,8
188,Derail Valley,80.0,4,Altfuture,2
189,Terroir,60.0,4,General Interactive,2
190,Pocket Rumble,62.5,4,Cardboard Robot Games,1
191,Can't Drive This,50.0,4,Pixel Maniacs,2
192,Windscape,66.16666666666667,4,Magic Sandbox,1
193,Volo Airsport,50.0,4,Ramjet Anvil,1
194,Salt,80.0,4,Lavaboots Studios,3
195,Automation: The Car Company Tycoon Game,80.0,4,Camshaft Software,2
196,The Way of Life,66.16795317036319,4,Fabio Ferrara,8
196,The Way of Life,66.16795317036319,4,Davide Caio,1
196,The Way of Life,66.16795317036319,4,Nicolò Azzolini,1
196,The Way of Life,66.16795317036319,4,Void Majestherion,1
196,The Way of Life,66.16795317036319,4,Mathieu Renaudat,1
196,The Way of Life,66.16795317036319,4,Luigi Di Guida,1
197,Medieval Engineers,60.0,4,Keen Software House,4
198,Secrets of Grindea,80.0,4,Pixel Ferrets,1
199,Realms of Arkania: Star Trail,50.0,4,Attic Entertainment Software,6
200,Stranded: Alien Dawn,83.66666666666667,3,Haemimont Games,46
201,Power Chord,60.0,3,Big Blue Bubble,17
202,Instruments of Destruction,87.0,3,Radiangames,7
204,The Political Process,80.0,3,Verlumino Studios LLC,1
205,10 Miles to Safety,80.0,3,Trickjump Games Ltd,3
206,Hot Shot Burn,70.0,3,Flaming Flamingo,1
207,Quantum League,71.0,3,NGD Studios,6
208,A Year of Rain,50.0,3,Daedalic Entertainment,40
209,Rogue Star Rescue,70.0,3,Chute Apps Inc.,2
210,Blazing Sails,80.0,3,Get Up Games,1
211,Mystic Vale,75.0,3,Nomad Games,22
212,Nanotale: Typing Chronicles,65.0,3,Fishing Cactus,6
213,Down to Hell,45.0,3,Red Dev Studio,2
214,Tapsonic Bold,25.0,3,Neowiz,12
215,Beasts of Bermuda,50.0,3,"Sastrei Studios, LLC",1
216,Rising Hell,70.0,3,Tahoe Games,1
216,Rising Hell,70.0,3,Toge Productions,16
217,The Waylanders,60.0,3,Gato Studio,1
218,Factory Town,70.0,3,Erik Asmussen,2
220,Clicker Heroes 2,60.0,3,Playsaurus,3
221,Fugl,71.5,3,Team Fugl,1
222,Intruder,80.0,3,Superboss Games,1
223,Cogmind,80.0,3,Grid Sage Games,2
224,Null Vector,78.5,3,Optical Override,1
225,Broke Protocol: Online City RPG,50.0,3,Cylinder Studios,1
226,Guns'n'Stories: Bulletproof VR,71.5,3,MIROWIN,7
227,CAT Interstellar,60.0,3,Ionized Games,2
228,Head Shot,50.0,3,Indie Game Group,4
229,UBoat,60.0,3,Deep Water Studio,1
230,Atomic Society,70.0,3,Far Road Games,1
231,Pylon: Rogue,62.0,3,QuantumSquid Interactive,1
232,Onward,80.0,3,Downpour Interactive,1
233,Quarantine,60.0,3,Sproing Interactive Media,21
234,The Spatials: Galactology,70.0,3,Wierd and Wry,2
235,Wayward,80.0,3,Unlok,1
236,Dreambreak,51.66666666666666,3,Aist,1
238,Saurian,60.0,3,Urvogel Games,1
239,Empires of the Undergrowth,80.0,3,Slug Disco,1
240,Wartile,70.0,3,Playwood Games ApS,1
240,Wartile,70.0,3,Playwood Project,3
241,KeeperRL,80.0,3,Michal Brzozowski,1
242,Project Aura,50.0,3,Pixel Quality Games,1
243,1... 2... 3... Kick It!: Drop That Beat Like an Ugly Baby,40.0,3,"Dejobaan Games, LLC",8
244,Rising World,80.0,3,JIW-Games,1
245,Starforge,10.17757790959444,3,CodeHatch,1
246,Fabledom,83.0,2,Grenaa Games,1
247,Kukoos: Lost Pets,61.5,2,PetitFabrik,1
248,GetsuFumaDen: Undying Moon,70.5,2,GuruGuru,1
248,GetsuFumaDen: Undying Moon,70.5,2,Konami Digital Entertainment,89
249,Fuzz Force: Spook Squad,70.0,2,Fuzz Force,3
250,Knock on the Coffin Lid,70.0,2,RED BOON FZE LLC,1
251,Streamer Daily,70.0,2,Mehan Games,1
252,Soviet Jump Game,80.0,2,Fantastic Passion,2
253,Card Hog,80.0,2,SnoutUp,2
254,Comanche,60.0,2,NUKKLEAR,4
255,Undying,67.0,2,Vanimals Games,2
256,Killsquad,72.5,2,Novarama,10
257,Little Witch Nobeta,70.5,2,Pupuya Games,3
258,Ashes of Oahu,50.0,2,Wyrmbyte,4
259,Timeflow: Time and Money Simulator,50.0,2,Roman Makhmutov,1
260,Last Oasis,60.0,2,Donkey Crew,3
261,Odd Realm,70.0,2,Unknown Origin Games Inc,1
262,No Time to Relax,70.0,2,Porcelain Fortress,2
263,Pax Nova,50.0,2,Grey Wolf Entertainment,3
264,XO,70.0,2,Jumpdrive Studios,1
266,Newfound Courage,70.0,2,Curtis Campion,1
267,CryoFall,50.0,2,AtomicTorch Studio,3
268,Godhood,50.0,2,Abbey Games,6
269,Dead or School,67.5,2,Studio Nanafushi,1
270,This Land Is My Land,70.0,2,Game-Labs,8
271,Blast Zone! Tournament,50.0,2,Victory Lap Games,1
272,KurtzPel,50.0,2,KOG studios,6
273,Blood Waves,50.0,2,Light Road Games,2
273,Blood Waves,50.0,2,Sometimes You,47
274,Forged Battalion,80.0,2,Petroglyph Games,22
275,Flotsam,60.0,2,Pajama Llama,1
276,Wasted Pizza,50.0,2,Supine,1
277,Flashing Lights: Police Fire EMS,50.0,2,Nils Jakrins,1
