,Title,Average Score,Score Count,Dates,Platforms,Regions
42,Startup Company,66.0951021929778,15,"Apr 10, 2020",PC (Microsoft Windows),Worldwide
42,Startup Company,66.0951021929778,15,"Apr 10, 2020",Linux,Worldwide
42,Startup Company,66.0951021929778,15,"Apr 10, 2020",Mac,Worldwide
43,A Twisted Path To Renown,93.30718954248367,14,"Nov 30, 2023",PC (Microsoft Windows),Worldwide
44,Deep Rock Galactic: Survivor,77.30653437646535,14,TBD,PC (Microsoft Windows),Worldwide
44,Deep Rock Galactic: Survivor,77.30653437646535,14,"Feb 14, 2024",PC (Microsoft Windows),Worldwide
45,Stream Racer,84.76923076923077,14,"Jun 19, 2020",PC (Microsoft Windows),Worldwide
46,Everspace 2,73.33999603357731,14,"Apr 06, 2023",PC (Microsoft Windows),Worldwide
46,Everspace 2,73.33999603357731,14,"Jan 18, 2021",PC (Microsoft Windows),Worldwide
46,Everspace 2,73.33999603357731,14,"Aug 15, 2023",Xbox Series X|S,Worldwide
46,Everspace 2,73.33999603357731,14,"Aug 15, 2023",PlayStation 5,Worldwide
47,Rustler,65.5853557741938,14,"Aug 31, 2021",PlayStation 4,Worldwide
47,Rustler,65.5853557741938,14,"Aug 31, 2021",Nintendo Switch,Worldwide
47,Rustler,65.5853557741938,14,"Aug 31, 2021",Xbox Series X|S,Worldwide
47,Rustler,65.5853557741938,14,"Aug 31, 2021",Xbox One,Worldwide
47,Rustler,65.5853557741938,14,"Aug 31, 2021",PlayStation 5,Worldwide
47,Rustler,65.5853557741938,14,"Feb 18, 2021",PC (Microsoft Windows),Worldwide
48,Aimlabs,70.29421912212247,14,"Jun 01, 2018",Linux,Worldwide
48,Aimlabs,70.29421912212247,14,"Jun 01, 2018",PC (Microsoft Windows),Worldwide
49,Mashinky,89.48685336772036,14,"Oct 06, 2017",PC (Microsoft Windows),Worldwide
50,Shark Dating Simulator XL,57.69230769230769,14,"Jul 24, 2017",PC (Microsoft Windows),Worldwide
51,Stoneshard,76.92554119475231,14,"Feb 06, 2020",Linux,Worldwide
51,Stoneshard,76.92554119475231,14,"Feb 06, 2020",Mac,Worldwide
51,Stoneshard,76.92554119475231,14,"Feb 06, 2020",PC (Microsoft Windows),Worldwide
52,Caves of Qud,82.4420545025512,14,"Jul 15, 2015",Linux,Worldwide
52,Caves of Qud,82.4420545025512,14,"Jul 15, 2015",Mac,Worldwide
52,Caves of Qud,82.4420545025512,14,"Jul 15, 2015",PC (Microsoft Windows),Worldwide
52,Caves of Qud,82.4420545025512,14,2024,Linux,Worldwide
52,Caves of Qud,82.4420545025512,14,2024,Mac,Worldwide
52,Caves of Qud,82.4420545025512,14,2024,PC (Microsoft Windows),Worldwide
53,Surviving the Aftermath,57.49151311423476,13,"Nov 16, 2021",PC (Microsoft Windows),Worldwide
53,Surviving the Aftermath,57.49151311423476,13,"Nov 16, 2021",Nintendo Switch,Worldwide
53,Surviving the Aftermath,57.49151311423476,13,"Nov 16, 2021",PlayStation 4,Worldwide
53,Surviving the Aftermath,57.49151311423476,13,"Nov 16, 2021",Xbox One,Worldwide
53,Surviving the Aftermath,57.49151311423476,13,"Oct 22, 2020",PC (Microsoft Windows),Worldwide
54,Skater XL,71.959770803452,13,"Dec 19, 2018",PC (Microsoft Windows),Worldwide
54,Skater XL,71.959770803452,13,"Jul 28, 2020",PlayStation 4,Worldwide
54,Skater XL,71.959770803452,13,"Jul 28, 2020",Xbox One,Worldwide
54,Skater XL,71.959770803452,13,"Dec 05, 2023",Nintendo Switch,Worldwide
55,Beast Battle Simulator,96.41172265904217,13,"Aug 23, 2017",PC (Microsoft Windows),Worldwide
55,Beast Battle Simulator,96.41172265904217,13,"Oct 02, 2017",iOS,Worldwide
56,Colony Survival,80.18728587470066,13,"Jun 16, 2017",Linux,Worldwide
56,Colony Survival,80.18728587470066,13,"Jun 16, 2017",PC (Microsoft Windows),Worldwide
56,Colony Survival,80.18728587470066,13,"Jun 16, 2017",Mac,Worldwide
57,Exanima,79.92067603935372,13,"Apr 29, 2015",PC (Microsoft Windows),Worldwide
58,Core Keeper,60.7937433820678,12,"Mar 08, 2022",Linux,Worldwide
58,Core Keeper,60.7937433820678,12,"Mar 08, 2022",PC (Microsoft Windows),Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",Linux,Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",Nintendo Switch,Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",PC (Microsoft Windows),Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",PlayStation 4,Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",PlayStation 5,Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",Xbox One,Worldwide
58,Core Keeper,60.7937433820678,12,"Aug 27, 2024",Xbox Series X|S,Worldwide
59,Eco,90.83148859315394,12,"Feb 06, 2018",PC (Microsoft Windows),Worldwide
60,The Vagrant,85.76387143650447,12,"Jun 09, 2017",PC (Microsoft Windows),Worldwide
61,Earthfall,62.00689680303385,12,"Jul 13, 2018",Xbox One,Worldwide
61,Earthfall,62.00689680303385,12,"Jul 13, 2018",PlayStation 4,Worldwide
61,Earthfall,62.00689680303385,12,"Oct 29, 2019",Nintendo Switch,Worldwide
61,Earthfall,62.00689680303385,12,"Jul 12, 2018",PC (Microsoft Windows),Worldwide
62,SpaceEngine,89.92809987401883,12,"Jun 01, 2010",PC (Microsoft Windows),Worldwide
62,SpaceEngine,89.92809987401883,12,"Jun 11, 2019",SteamVR,Worldwide
62,SpaceEngine,89.92809987401883,12,"Jun 11, 2019",PC (Microsoft Windows),Worldwide
62,SpaceEngine,89.92809987401883,12,"Jun 11, 2019",SteamVR,Worldwide
63,Gloam,92.5925925925926,11,"Mar 01, 2021",PC (Microsoft Windows),Worldwide
64,BroodStar,89.16666666666666,11,"Sep 30, 2020",PC (Microsoft Windows),Worldwide
64,BroodStar,89.16666666666666,11,"Jun 24, 2023",Nintendo Switch,Worldwide
64,BroodStar,89.16666666666666,11,"Feb 23, 2024",Xbox One,North America
64,BroodStar,89.16666666666666,11,"Jun 05, 2024",PlayStation 4,North America
64,BroodStar,89.16666666666666,11,"Jun 05, 2024",PlayStation 4,Europe
64,BroodStar,89.16666666666666,11,"Feb 23, 2024",Xbox One,Europe
65,We Went Back,59.37043486935174,11,"Feb 18, 2020",PC (Microsoft Windows),Worldwide
66,AdVenture Communist,59.89794158321573,11,"Aug 23, 2016",PC (Microsoft Windows),Worldwide
66,AdVenture Communist,59.89794158321573,11,"Aug 23, 2016",Mac,Worldwide
66,AdVenture Communist,59.89794158321573,11,"Nov 16, 2017",Android,Worldwide
66,AdVenture Communist,59.89794158321573,11,"Nov 16, 2017",iOS,Worldwide
67,Another Brick in the Mall,66.85778470329305,11,"Nov 03, 2016",PC (Microsoft Windows),Worldwide
68,Pavlov VR,80.6610844584933,11,"Feb 27, 2017",SteamVR,Worldwide
68,Pavlov VR,80.6610844584933,11,"Mar 31, 2021",Meta Quest 2,Worldwide
68,Pavlov VR,80.6610844584933,11,"Feb 22, 2023",PlayStation VR2,Worldwide
69,Vainglory,69.93801827775835,11,"Nov 16, 2014",iOS,Worldwide
69,Vainglory,69.93801827775835,11,"Jul 02, 2015",Android,Worldwide
69,Vainglory,69.93801827775835,11,TBD,Mac,Worldwide
69,Vainglory,69.93801827775835,11,"Feb 13, 2019",PC (Microsoft Windows),Worldwide
70,Suck Up!,81.21951219512195,10,"Dec 12, 2023",PC (Microsoft Windows),Worldwide
71,Death Must Die,79.99721216906516,10,"Nov 14, 2023",PC (Microsoft Windows),Worldwide
71,Death Must Die,79.99721216906516,10,"Nov 14, 2023",Mac,Worldwide
71,Death Must Die,79.99721216906516,10,TBD,Xbox One,Worldwide
71,Death Must Die,79.99721216906516,10,TBD,Xbox Series X|S,Worldwide
72,Supremacy: The Metaverse Game,87.84260515603799,10,"Feb 22, 2022",Web browser,Worldwide
73,Coral Island,75.64660493827161,10,"Nov 14, 2023",PlayStation 5,Worldwide
73,Coral Island,75.64660493827161,10,"Nov 14, 2023",PC (Microsoft Windows),Worldwide
73,Coral Island,75.64660493827161,10,"Nov 14, 2023",Xbox Series X|S,Worldwide
73,Coral Island,75.64660493827161,10,"Oct 11, 2022",PC (Microsoft Windows),Worldwide
73,Coral Island,75.64660493827161,10,"Oct 11, 2022",Xbox Series X|S,Worldwide
74,Peglin,86.15768958222841,10,"Apr 25, 2022",Android,Worldwide
74,Peglin,86.15768958222841,10,"Apr 25, 2022",iOS,Worldwide
74,Peglin,86.15768958222841,10,"Apr 25, 2022",Mac,Worldwide
74,Peglin,86.15768958222841,10,"Apr 25, 2022",PC (Microsoft Windows),Worldwide
75,Havocado,77.0,10,"Apr 25, 2019",PC (Microsoft Windows),Worldwide
75,Havocado,77.0,10,"Apr 25, 2019",Mac,Worldwide
76,Blade & Sorcery,80.05454161613338,10,"Dec 11, 2018",PC (Microsoft Windows),Worldwide
76,Blade & Sorcery,80.05454161613338,10,"Dec 11, 2018",SteamVR,Worldwide
76,Blade & Sorcery,80.05454161613338,10,"Apr 04, 2019",Oculus VR,Worldwide
76,Blade & Sorcery,80.05454161613338,10,"Apr 04, 2019",Oculus Rift,Worldwide
77,"Good Pizza, Great Pizza",64.25620110828709,10,"Dec 02, 2014",iOS,Worldwide
77,"Good Pizza, Great Pizza",64.25620110828709,10,"Sep 03, 2020",Nintendo Switch,Worldwide
77,"Good Pizza, Great Pizza",64.25620110828709,10,"Dec 02, 2014",Android,Worldwide
77,"Good Pizza, Great Pizza",64.25620110828709,10,"Jun 05, 2018",PC (Microsoft Windows),Worldwide
77,"Good Pizza, Great Pizza",64.25620110828709,10,"Jun 05, 2018",Mac,Worldwide
78,Ravenfield,70.95404021222224,10,"May 18, 2017",PC (Microsoft Windows),Worldwide
78,Ravenfield,70.95404021222224,10,"May 18, 2017",Mac,Worldwide
78,Ravenfield,70.95404021222224,10,"May 18, 2017",Linux,Worldwide
79,Passpartout: The Starving Artist,59.94069549359882,10,"Jun 06, 2017",Mac,Worldwide
79,Passpartout: The Starving Artist,59.94069549359882,10,"Jun 06, 2017",PC (Microsoft Windows),Worldwide
79,Passpartout: The Starving Artist,59.94069549359882,10,"Nov 30, 2017",iOS,Worldwide
79,Passpartout: The Starving Artist,59.94069549359882,10,"Jun 06, 2017",Linux,Worldwide
79,Passpartout: The Starving Artist,59.94069549359882,10,"Oct 18, 2018",Nintendo Switch,Worldwide
80,Serious Sam Classics: Revolution,87.61706494111856,10,"Mar 03, 2014",PC (Microsoft Windows),Worldwide
81,Who's Your Daddy,43.32214964721245,10,"Dec 23, 2015",PC (Microsoft Windows),Worldwide
81,Who's Your Daddy,43.32214964721245,10,"Dec 23, 2015",Mac,Worldwide
81,Who's Your Daddy,43.32214964721245,10,"Dec 23, 2015",Linux,Worldwide
81,Who's Your Daddy,43.32214964721245,10,"Jan 05, 2022",Xbox One,North America
81,Who's Your Daddy,43.32214964721245,10,"May 02, 2024",PlayStation 4,North America
