,Title,Average Score,Score Count
229,UBoat,60.0,3
230,Atomic Society,70.0,3
231,Pylon: Rogue,62.0,3
232,Onward,80.0,3
233,Quarantine,60.0,3
234,The Spatials: Galactology,70.0,3
235,Wayward,80.0,3
236,Dreambreak,51.66666666666666,3
237,Holodrive,79.0,3
238,Saurian,60.0,3
239,Empires of the Undergrowth,80.0,3
240,Wartile,70.0,3
241,KeeperRL,80.0,3
242,Project Aura,50.0,3
243,1... 2... 3... Kick It!: Drop That Beat Like an Ugly Baby,40.0,3
244,Rising World,80.0,3
245,Starforge,10.17757790959444,3
246,Fabledom,83.0,2
247,Kukoos: Lost Pets,61.5,2
248,GetsuFumaDen: Undying Moon,70.5,2
249,Fuzz Force: Spook Squad,70.0,2
250,Knock on the Coffin Lid,70.0,2
251,Streamer Daily,70.0,2
252,Soviet Jump Game,80.0,2
253,Card Hog,80.0,2
254,Comanche,60.0,2
255,Undying,67.0,2
256,Killsquad,72.5,2
257,Little Witch Nobeta,70.5,2
258,Ashes of Oahu,50.0,2
259,Timeflow: Time and Money Simulator,50.0,2
260,Last Oasis,60.0,2
261,Odd Realm,70.0,2
262,No Time to Relax,70.0,2
263,Pax Nova,50.0,2
264,XO,70.0,2
265,Never Breakup,60.0,2
266,Newfound Courage,70.0,2
267,CryoFall,50.0,2
268,Godhood,50.0,2
269,Dead or School,67.5,2
270,This Land Is My Land,70.0,2
271,Blast Zone! Tournament,50.0,2
272,KurtzPel,50.0,2
273,Blood Waves,50.0,2
274,Forged Battalion,80.0,2
275,Flotsam,60.0,2
276,Wasted Pizza,50.0,2
277,Flashing Lights: Police Fire EMS,50.0,2
278,Witch Hunt,80.0,2
279,Empires in Ruins,70.0,2
280,Dog Duty,70.0,2
281,Operation Warcade VR,72.5,2
282,Crest,60.0,2
283,The District,20.0,2
284,VR Karts,57.5,2
285,Planet Centauri,60.0,2
286,Gamma Bros,70.0,2
287,Project Arrhythmia,70.0,2
288,QuiVr,80.0,2
289,Blasters of the Universe,70.0,2
290,Bombslinger,72.5,2
291,Star Explorers,50.0,2
292,Bigfoot,50.0,2
293,Drunkn Bar Fight,80.0,2
294,Low Magic Age,80.0,2
295,A-Tech Cybernetic,80.0,2
296,Production Line,60.0,2
297,Karnage Chronicles,80.0,2
298,Post Human W.A.R,75.0,2
299,Sailaway,80.0,2
300,NITE Team 4,70.0,2
301,We Need to Go Deeper,80.0,2
302,BattleCrew: Space Pirates,35.0,2
303,Spellsworn,80.0,2
304,Yore VR,50.0,2
305,Stellar Overload,60.0,2
306,Timber and Stone,50.0,2
307,Drift Into Eternity,72.5,2
308,Exoplanet: First Contact,80.0,2
309,Feed and Grow: Fish,60.0,2
310,DropZone,75.0,2
311,De Mambo,74.0,2
312,Super Indie Karts,80.0,2
313,All Guns on Deck,40.0,2
314,Wild Warfare,70.0,2
315,Elea,70.0,2
316,Kingdoms Rise,50.0,2
317,Bombernauts,80.0,2
318,Folk Tale,50.0,2
319,Gabe Newell Simulator,50.0,2
320,Subaeria,57.5,2
321,Dispatcher,40.0,2
322,Rodina,80.0,2
323,Starmade,60.0,2
324,Block Story,50.0,2
325,Prismata,70.0,2
326,Soulslinger: Envoy of Death,92.0,1
327,New Star GP,80.0,1
328,Forgive Me Father 2,70.0,1
329,Go-Go Town!,85.0,1
330,Trinity Fusion,85.0,1
331,Voltaire: The Vegan Vampire,60.0,1
332,Arto,35.0,1
333,MythForce,65.0,1
334,Spiritfall,66.0,1
335,Sker Ritual,60.0,1
336,Lovecraft's Untold Stories 2,40.0,1
337,Thy Creature,90.0,1
338,Oaken,65.0,1
339,Dread Delusion,73.0,1
340,Mortal Sin,81.0,1
341,Ember Knights,85.0,1
342,Puzzle Quest 3,60.0,1
343,Patch Quest,85.0,1
344,Graven,75.0,1
345,Total Arcade Racing,80.0,1
346,Titan Chaser,80.0,1
347,Victory Road,80.0,1
348,Mists of Noyah,60.0,1
349,Weed Farmer Simulator,50.0,1
350,Shaolin vs Wutang 2,70.0,1
351,Barricadez,80.0,1
352,Ultimate Zombie Defense,70.0,1
353,Tainted Grail: The Fall of Avalon,0.0,1
354,Spellsword Cards: DungeonTop,68.0,1
355,Mad Experiments: Escape Room,70.0,1
356,MMORPG Tycoon 2,70.0,1
357,Tip of the Spear: Task Force Elite,80.0,1
358,The Yellow King,70.0,1
359,Errant Kingdom,70.0,1
360,Day of Dragons,50.0,1
361,Book of Travels,66.0,1
362,Necronator: Dead Wrong,65.0,1
363,Drift of the Hill,80.0,1
364,Neon Noodles: Cyberpunk Kitchen Automation,70.0,1
365,Beat Blast,88.0,1
366,Bastide,50.0,1
367,MicroTown,70.0,1
368,Devil's Deck,60.0,1
369,Neon Tail,70.0,1
370,Onset,70.0,1
371,Shadows of Doubt,80.0,1
372,Sky Link,70.0,1
373,Ritual: Crown of Horns,75.0,1
374,Naxia,50.0,1
375,Ninja Legends,70.0,1
376,Axis & Allies 1942 Online,50.0,1
377,Siege of Centauri,65.0,1
378,Gravity Ace,70.0,1
379,Burned Land,70.0,1
380,Road to Guangdong,50.0,1
381,Winkeltje: The Little Shop,70.0,1
382,2084,50.0,1
383,Hotel Sowls,65.0,1
384,Metaverse Keeper,70.0,1
385,Murder Mystery Machine,73.0,1
386,Fantasy Blacksmith,50.0,1
387,Deadliest Catch: The Game,45.0,1
388,Blink: Rogues,65.0,1
389,Pandemic Express: Zombie Escape,60.0,1
390,Time Warpers,70.0,1
391,Deadside,60.0,1
392,Lawless Lands,70.0,1
393,Starcom: Nexus,70.0,1
394,Good Company,60.0,1
395,Black Paradox,35.0,1
396,Seeds of Resilience,60.0,1
397,Rapture Rejects,50.0,1
398,Melting World Online,50.0,1
399,A Long Way Down,50.0,1
400,Adeptus Titanicus: Dominus,80.0,1
401,The Hardest Dungeon,70.0,1
402,Find Your Way,50.0,1
403,Newt One,70.0,1
404,The True Slime King,90.0,1
405,ValeGuard,64.0,1
406,Vox Machinae,80.0,1
407,Final Assault,70.0,1
408,BoxVR,80.0,1
409,Sipho,70.0,1
410,The Snowboard Game,60.0,1
411,Swords 'n Magic and Stuff,80.0,1
