,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
2358040,2358040,Fantasy Craft,The Spiteful Games, The Spiteful Games,,90,38,0,"0 .. 20,000",0,0,0,0,1999,1999,0,10
1526180,1526180,Hide and Seek,Lucky Dog,Lucky Dog,,96,28,0,"0 .. 20,000",0,0,0,0,209,299,30,0
1683380,1683380,PuPu's Adventure Park,西梅树工作室,西梅树工作室,,96,24,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
2406180,2406180,Knights Within,Indecision Labs,Indecision Labs,,100,2,0,"0 .. 20,000",0,0,0,0,1799,1799,0,12
727930,727930,Robo Revenge Squad,Rikodu,Rikodu,,101,31,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
308080,308080,Wing Breakers,Gugila,Gugila,,104,39,0,"0 .. 20,000",0,0,0,0,2499,2499,0,0
1023550,1023550,Rogue Star Rescue,Chute Apps,Chute Apps,,120,10,0,"0 .. 20,000",0,0,0,0,974,1499,35,1
760400,760400,Audio Drive,Oddscure,Oddscure,,121,62,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1000770,1000770,Urban Tale,WASD Games,WASD Games,,123,59,0,"0 .. 20,000",0,0,0,0,1199,1199,0,1
366290,366290,Carp Fishing Simulator,Dangerous Derk Interactive,Dangerous Derk Interactive,,131,89,0,"0 .. 20,000",0,0,0,0,1899,1899,0,1
